event,pt,utc,order_id,signal_id,market_type,market_name,runner_name,side,price,stake,matched,remaining,queue_ahead_initial,queue_ahead_remaining,status,liability,free_balance,queue_delta,matched_now,action_source,action_count,action_amount,pnl_v3,matched_fraction,exit_utc,exit_price,settlement,note
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,1|1.131162847|5851482|None|BACK|1.01|2017-04-30T13:03:59.809000Z,1,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.010000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,1|1.131162847|5851482|None|BACK|1.01|2017-04-30T13:03:59.809000Z,1,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.010000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,996.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,2|1.131162847|5851482|None|BACK|1.02|2017-04-30T13:03:59.809000Z,2,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.020000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,2|1.131162847|5851482|None|BACK|1.02|2017-04-30T13:03:59.809000Z,2,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.020000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,992.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,3|1.131162847|5851482|None|BACK|1.03|2017-04-30T13:03:59.809000Z,3,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.030000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,3|1.131162847|5851482|None|BACK|1.03|2017-04-30T13:03:59.809000Z,3,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.030000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,988.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,4|1.131162847|5851482|None|BACK|1.04|2017-04-30T13:03:59.809000Z,4,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.040000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,4|1.131162847|5851482|None|BACK|1.04|2017-04-30T13:03:59.809000Z,4,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.040000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,984.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,5|1.131162847|5851482|None|BACK|1.05|2017-04-30T13:03:59.809000Z,5,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.050000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,5|1.131162847|5851482|None|BACK|1.05|2017-04-30T13:03:59.809000Z,5,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.050000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,980.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,6|1.131162847|5851482|None|BACK|1.06|2017-04-30T13:03:59.809000Z,6,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.060000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,6|1.131162847|5851482|None|BACK|1.06|2017-04-30T13:03:59.809000Z,6,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.060000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,976.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,7|1.131162847|5851482|None|BACK|1.07|2017-04-30T13:03:59.809000Z,7,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.070000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,7|1.131162847|5851482|None|BACK|1.07|2017-04-30T13:03:59.809000Z,7,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.070000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,972.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,8|1.131162847|5851482|None|BACK|1.08|2017-04-30T13:03:59.809000Z,8,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.080000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
