signal_id,signal_utc,minute,phase,score,market_type,market_name,runner_name,side,price,stake,engine_add_amount,engine_add_count,first_add_utc,future_match_amount,future_remove_amount,fill_proxy,fill_proxy_amount,cancel_proxy,same_level_remove_amount,same_level_match_amount,opposite_side_match_amount,near_remove_match_same_amount,near_remove_match_opp_amount,outcome,entry_order_side,fill_utc,exit_utc,exit_proxy,exit_side,exit_price,price_diff,pnl_proxy,pnl_status
1,2017-04-30T13:05:06.409000Z,0.11,NORMAL_FIRST_HALF,17,MATCH_ODDS,Match Odds,Man City,ATB,1.24,4.0,4878.85,4,2017-04-30T13:05:11.222Z,0.0,1136.9,YES,0.0,YES,1136.9,0,0,0.0,0.0,LEVEL_DISAPPEARED_NO_MATCH_TAG,LAY,2017-04-30T13:05:11.443000Z,2017-04-30T13:05:12.033000Z,YES,ATL,1.31,0.07,0.21374,EXIT_FOUND
1,2017-04-30T13:05:06.409000Z,0.11,NORMAL_FIRST_HALF,17,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,ATB,1.58,4.0,3185.59,4,2017-04-30T13:05:11.046Z,0.0,1450.2,YES,0.0,YES,1450.2,0,0,0.0,0.0,LEVEL_DISAPPEARED_NO_MATCH_TAG,LAY,2017-04-30T13:05:11.335000Z,2017-04-30T13:05:12.033000Z,YES,ATL,1.7,0.12,0.282353,EXIT_FOUND
2,2017-04-30T13:06:40.447000Z,1.67,NORMAL_FIRST_HALF,17,TOTAL_GOALS,Total Goals,3 goals or more,ATB,1.57,4.0,3475.22,2,2017-04-30T13:06:46.044Z,0.0,2146.99,YES,0.0,YES,2146.99,0,0,0.0,0.0,LEVEL_DISAPPEARED_NO_MATCH_TAG,LAY,2017-04-30T13:06:49.059000Z,2017-04-30T13:06:57.052000Z,YES,ATL,1.69,0.12,0.284024,EXIT_FOUND
2,2017-04-30T13:06:40.447000Z,1.67,NORMAL_FIRST_HALF,17,MATCH_ODDS,Match Odds,Man City,ATB,1.24,4.0,3364.74,1,2017-04-30T13:06:46.145Z,0.0,336.48,YES,0.0,YES,336.48,0,0,0.0,0.0,LEVEL_DISAPPEARED_NO_MATCH_TAG,LAY,2017-04-30T13:06:47.651000Z,2017-04-30T13:06:48.229000Z,YES,ATL,1.29,0.05,0.155039,EXIT_FOUND
3,2017-04-30T13:08:05.030000Z,3.08,NORMAL_FIRST_HALF,17,FIRST_HALF_GOALS_05,First Half Goals 0.5,Over 0.5 Goals,ATB,1.31,4.0,5943.87,3,2017-04-30T13:08:12.923Z,0.0,319.99,YES,0.0,YES,319.99,0,0,0.0,0.0,LEVEL_DISAPPEARED_NO_MATCH_TAG,LAY,2017-04-30T13:08:18.452000Z,2017-04-30T13:08:21.881000Z,YES,ATL,1.39,0.08,0.230216,EXIT_FOUND
3,2017-04-30T13:08:05.030000Z,3.08,NORMAL_FIRST_HALF,17,MATCH_ODDS,Match Odds,Man City,ATL,1.3,4.0,2346.78,4,2017-04-30T13:08:09.507Z,0.0,2965.42,YES,0.0,YES,2965.42,0,0,0.0,0.0,LEVEL_DISAPPEARED_NO_MATCH_TAG,BACK,2017-04-30T13:08:13.272000Z,2017-04-30T13:08:18.219000Z,YES,ATB,1.27,-0.03,0.094488,EXIT_FOUND
3,2017-04-30T13:08:05.030000Z,3.08,NORMAL_FIRST_HALF,17,MATCH_ODDS,Match Odds,Man City,ATB,1.26,4.0,1766.71,1,2017-04-30T13:08:13.033Z,0.0,4885.15,YES,0.0,YES,4885.15,0,0,0.0,0.0,LEVEL_DISAPPEARED_NO_MATCH_TAG,LAY,2017-04-30T13:08:13.272000Z,2017-04-30T13:08:13.328000Z,YES,ATL,1.27,0.01,0.031496,EXIT_FOUND
3,2017-04-30T13:08:05.030000Z,3.08,NORMAL_FIRST_HALF,17,TOTAL_GOALS,Total Goals,3 goals or more,ATL,1.69,4.0,1336.24,1,2017-04-30T13:08:13.033Z,0.0,4548.27,YES,0.0,YES,4548.27,0,0,0.0,0.0,LEVEL_DISAPPEARED_NO_MATCH_TAG,BACK,2017-04-30T13:08:13.272000Z,2017-04-30T13:08:15.566000Z,YES,ATB,1.6,-0.09,0.225,EXIT_FOUND
4,2017-04-30T13:09:47.891000Z,4.8,NORMAL_FIRST_HALF,15,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,ATB,1.2,4.0,3364.74,1,2017-04-30T13:09:56.348Z,0.0,84.16,YES,0.0,YES,84.16,0,0,0.0,0.0,LEVEL_DISAPPEARED_NO_MATCH_TAG,LAY,2017-04-30T13:09:59.974000Z,2017-04-30T13:10:03.503000Z,YES,ATL,1.33,0.13,0.390977,EXIT_FOUND
4,2017-04-30T13:09:47.891000Z,4.8,NORMAL_FIRST_HALF,15,TOTAL_GOALS,Total Goals,2 goals or more,ATB,1.2,4.0,3364.73,1,2017-04-30T13:09:56.348Z,0.0,0.0,NO,0.0,NO,0,0,0,0.0,0.0,NO_TOUCH,LAY,,,NO,,,,0.0,NO_FILL_PROXY
