event,pt,utc,order_id,signal_id,market_type,market_name,runner_name,side,price,stake,matched,remaining,queue_ahead_initial,queue_ahead_remaining,status,liability,free_balance,queue_delta,matched_now,action_source,action_count,action_amount,pnl_v3,matched_fraction,exit_utc,exit_price,settlement,note
REQUEST_PLACE,1493557511250,2017-04-30T13:05:11.250000Z,1|1.131162757|1222344|None|LAY|1.58|2017-04-30T13:05:11.046Z,1,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.580000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
REQUEST_PLACE,1493557511250,2017-04-30T13:05:11.250000Z,1|1.131162806|47999|None|LAY|1.24|2017-04-30T13:05:11.222Z,1,MATCH_ODDS,Match Odds,Man City,LAY,1.240000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
PLACE,1493557516250,2017-04-30T13:05:16.250000Z,1|1.131162757|1222344|None|LAY|1.58|2017-04-30T13:05:11.046Z,1,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.580000,4.000000,0.000000,4.000000,1482.200000,1482.200000,open,2.320000,997.680000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
PLACE,1493557516250,2017-04-30T13:05:16.250000Z,1|1.131162806|47999|None|LAY|1.24|2017-04-30T13:05:11.222Z,1,MATCH_ODDS,Match Odds,Man City,LAY,1.240000,4.000000,0.000000,4.000000,3701.210000,3701.210000,open,0.960000,996.720000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
REQUEST_CANCEL,1493557546250,2017-04-30T13:05:46.250000Z,1|1.131162757|1222344|None|LAY|1.58|2017-04-30T13:05:11.046Z,,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.580000,4.000000,0.000000,4.000000,1482.200000,32.000000,requested_cancel,2.320000,996.720000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
REQUEST_CANCEL,1493557546250,2017-04-30T13:05:46.250000Z,1|1.131162806|47999|None|LAY|1.24|2017-04-30T13:05:11.222Z,,MATCH_ODDS,Match Odds,Man City,LAY,1.240000,4.000000,0.000000,4.000000,3701.210000,3153.130000,requested_cancel,0.960000,996.720000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
CANCEL,1493557551250,2017-04-30T13:05:51.250000Z,1|1.131162757|1222344|None|LAY|1.58|2017-04-30T13:05:11.046Z,,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.580000,4.000000,0.000000,0.000000,1482.200000,32.000000,cancelled,2.320000,999.040000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
CANCEL,1493557551250,2017-04-30T13:05:51.250000Z,1|1.131162806|47999|None|LAY|1.24|2017-04-30T13:05:11.222Z,,MATCH_ODDS,Match Odds,Man City,LAY,1.240000,4.000000,0.000000,0.000000,3701.210000,3153.130000,cancelled,0.960000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
REQUEST_PLACE,1493557606250,2017-04-30T13:06:46.250000Z,2|1.131162807|285471|-3.0|LAY|1.57|2017-04-30T13:06:46.044Z,2,TOTAL_GOALS,Total Goals,3 goals or more,LAY,1.570000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
REQUEST_PLACE,1493557606250,2017-04-30T13:06:46.250000Z,2|1.131162806|47999|None|LAY|1.24|2017-04-30T13:06:46.145Z,2,MATCH_ODDS,Match Odds,Man City,LAY,1.240000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
PLACE,1493557611250,2017-04-30T13:06:51.250000Z,2|1.131162807|285471|-3.0|LAY|1.57|2017-04-30T13:06:46.044Z,2,TOTAL_GOALS,Total Goals,3 goals or more,LAY,1.570000,4.000000,0.000000,4.000000,1622.640000,1622.640000,open,2.280000,997.720000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
