signal_id,signal_utc,minute,phase,score,market_type,market_name,runner_name,side,price,stake,engine_add_amount,engine_add_count,first_add_utc,future_match_amount,future_remove_amount,fill_proxy,fill_proxy_amount,cancel_proxy,same_level_remove_amount,same_level_match_amount,opposite_side_match_amount,near_remove_match_same_amount,near_remove_match_opp_amount,outcome,entry_order_side,fill_utc,exit_utc,exit_proxy,exit_side,exit_price,price_diff,pnl_proxy,pnl_status
1,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.01,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
2,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.02,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
3,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.03,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
4,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.04,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
5,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.05,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
6,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.06,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
7,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.07,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
8,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.08,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
9,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.09,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
10,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.1,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
11,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.11,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
12,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.12,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
13,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.13,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
14,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.14,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
15,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.15,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
16,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.16,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
17,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.17,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
